#2,4,8,16,32 iv run:
#key_index key_hex budget success seconds
11 b05d02ebde3dc0c20107571b495cc13f7b2ad0cda9abab0218dee908241a9187 4 1 111.959
11 b05d02ebde3dc0c20107571b495cc13f7b2ad0cda9abab0218dee908241a9187 8 1 skip-monotone
11 b05d02ebde3dc0c20107571b495cc13f7b2ad0cda9abab0218dee908241a9187 16 1 skip-monotone
11 b05d02ebde3dc0c20107571b495cc13f7b2ad0cda9abab0218dee908241a9187 32 1 skip-monotone
12 7ba62d69040faa86b1d625efbf666faee07a7f9058dddc94efbb025cc16050ba 2 0 10.104
12 7ba62d69040faa86b1d625efbf666faee07a7f9058dddc94efbb025cc16050ba 4 1 25.196
12 7ba62d69040faa86b1d625efbf666faee07a7f9058dddc94efbb025cc16050ba 8 1 skip-monotone
12 7ba62d69040faa86b1d625efbf666faee07a7f9058dddc94efbb025cc16050ba 16 1 skip-monotone
12 7ba62d69040faa86b1d625efbf666faee07a7f9058dddc94efbb025cc16050ba 32 1 skip-monotone
13 c186dc9eb1c12ceec50d2c51c49d633d8f8a725f1e84f92cd2102a99b648293d 2 0 9.097
13 c186dc9eb1c12ceec50d2c51c49d633d8f8a725f1e84f92cd2102a99b648293d 4 0 10.098
13 c186dc9eb1c12ceec50d2c51c49d633d8f8a725f1e84f92cd2102a99b648293d 8 1 23.163
13 c186dc9eb1c12ceec50d2c51c49d633d8f8a725f1e84f92cd2102a99b648293d 16 1 skip-monotone
13 c186dc9eb1c12ceec50d2c51c49d633d8f8a725f1e84f92cd2102a99b648293d 32 1 skip-monotone
14 37695641d9656d8c49de62909d1f81b9d3a2340a696bf6809874e450e9be6849 2 0 9.106
14 37695641d9656d8c49de62909d1f81b9d3a2340a696bf6809874e450e9be6849 4 0 9.085
14 37695641d9656d8c49de62909d1f81b9d3a2340a696bf6809874e450e9be6849 8 1 26.179
14 37695641d9656d8c49de62909d1f81b9d3a2340a696bf6809874e450e9be6849 16 1 skip-monotone
14 37695641d9656d8c49de62909d1f81b9d3a2340a696bf6809874e450e9be6849 32 1 skip-monotone
15 5fe3390e52c7f2ff31e15e854718516feeb7a6c05d4d669126c4f294506c0878 2 0 9.085
