trial,key_hex,k8_hex,outer_success,true_lane_rank,outer_wall_seconds,inward_outcome,inward_success,inward_wall_seconds,first_tier_failure,joint_success
39,B6792C85DA5724BAA50F9E8FE0881CA6783486E26B32FB18FCB7A696ECB82A86,ECB82A86,1,1,0.217873771,SUCCESS,1,167.385956442,,1
40,1B504B2F1F0A2F4C9171E7CAA8F1B91A2DFE07FC27564744BEE47EE5D382A803,D382A803,1,1,0.218297566,SUCCESS,1,155.013134966,,1
41,40F6E19600A3F8F7D26274641C17E644CA2D3E5A49C0831D9DA9842441EFFA01,41EFFA01,1,1,0.601748374,SUCCESS,1,138.635820542,,1
42,3D5B81193D811BA0AE91FBBECCA7EBFE0AD13C11029602170FB8A431D2E2BFF3,D2E2BFF3,1,1,0.297972683,SUCCESS,1,282.944061719,,1
43,2079E1DCFF12CE12E95480F9F2F3155C61741CA5788936EBC7D9956700054344,00054344,1,1,0.139739540,SUCCESS,1,86.794940336,,1
44,19B232A6AA55DA0B9E551C14B2AE61F9383384D5E2E12F9115CDB6FAED0E03DC,ED0E03DC,1,1,0.188034646,SUCCESS,1,136.785378116,,1
45,764413A16FC6AAFCB1C8749E943F77829B276F87FCA2A340E1556500A5F964BA,A5F964BA,1,1,0.143141708,SUCCESS,1,187.419064131,,1
46,E97E01E89D56DC87D0EA1AF3DF3B9B15E21EAFF947C9BAC680C6211351E4CD38,51E4CD38,1,1,0.253953024,SUCCESS,1,175.519683577,,1
47,8216AEEC30D7EB88ED0F444E399E074AE9CD1B045D8A91B2782E12B3409666DB,409666DB,1,1,0.177059410,SUCCESS,1,209.891427807,,1
48,29B00B057E781282D22FDAD947CDE969419185B4284A7D23C8012A0F6128863B,6128863B,1,1,0.599490114,SUCCESS,1,291.806186346,,1
49,AABFAA0CC01293415B18D75D8723D9C060D380024A981E705CE917C1430488A8,430488A8,1,1,0.345258078,SUCCESS,1,202.352860182,,1
50,D56491D50AC956ACE374D99463A68A95346C55A21615C48E92204A86DF20DF56,DF20DF56,1,1,0.209674049,TIMEOUT,0,600.081318074,S4:s7:c0:tier8,0
51,B2314453F0E14B335229FB11B18F4C0130703FAEF5003BB92D539640938912E5,938912E5,1,1,0.229140295,SUCCESS,1,81.292718236,,1
52,D744BB41CF83E61257CAFECE8681C2DDA5B6F570CFFCB1AD4C226DE0B77BD025,B77BD025,1,1,0.710156251,SUCCESS,1,205.723761690,,1
